"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Mar 4, 2022 11:54:20 PM PST","15361402921","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-2.51","0","-2.51"
"Mar 6, 2022 12:14:09 AM PST","15361402921","Service Fee","","","Subscription","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-39.99","-39.99"
"Mar 6, 2022 12:09:25 PM PST","15361402921","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-50.69","0","-50.69"
"Mar 9, 2022 7:41:01 AM PST","15361402921","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-151.86","0","-151.86"
"Mar 10, 2022 9:46:03 AM PST","15361402921","Order","112-1900185-7969028","B300-Black and White","olylo Anti Bark Collar, Bark Collar for Medium Dogs with Beep and Shock, 2 Adjustable Sensitivity and 6 Intensity Shock, Stop Barking Dog Collar-Black","1","amazon.com","Standard Orders","Amazon","MEDINA","NY","14103-1141","MarketplaceFacilitator","25.99","2.08","0","0","0","0","0","0","0","0","-2.08","-3.90","-3.65","0","0","18.44"
"Mar 10, 2022 1:22:33 PM PST","15361402921","Order","111-6453774-0118617","E5-VSV4-XXLM","olylo 360 Photo Booth Machine for Parties People to Stand on, Slow Motion Rotating, 360 Camera Booth Machine with LED Ring Light for Parties, Weddings","1","amazon.com","Standard Orders","Amazon","CONYERS","GA","30094-1224","MarketplaceFacilitator","2,599.00","181.93","0","0","0","0","0","0","0","0","-181.93","-214.92","-73.12","0","0","2,310.96"
"Mar 10, 2022 5:31:02 PM PST","15361402921","Order","114-6790373-7646600","00-V0PZ-WG22","olylo 360 Photo Booth Machine for Parties People to Stand on, Slow Motion Rotating, 360 Camera Booth Machine with LED Ring Light for Parties, Weddings","1","amazon.com","Standard Orders","Amazon","HOLLYWOOD","CA","90028-4025","MarketplaceFacilitator","2,599.00","246.91","0","0","0","0","0","0","0","0","-246.91","-214.92","-181.86","0","0","2,202.22"
"Mar 11, 2022 12:15:34 AM PST","15361402921","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-202.50","0","-202.50"
"Mar 13, 2022 1:02:19 AM PST","15361402921","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-352.35","0","-352.35"
"Mar 14, 2022 3:52:05 PM PDT","15361402921","Order","113-1619024-6864249","00-V0PZ-WG22","olylo 360 Photo Booth Machine for Parties People to Stand on, Slow Motion Rotating, 360 Camera Booth Machine with LED Ring Light for Parties, Weddings","1","amazon.com","Standard Orders","Amazon","NEW YORK","NY","10035-2720","MarketplaceFacilitator","2,599.00","230.66","0","0","0","0","0","0","0","0","-230.66","-214.92","-181.86","0","0","2,202.22"
"Mar 14, 2022 10:12:18 PM PDT","15560763051","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-527.05","0","-527.05"
"Mar 15, 2022 2:44:25 PM PDT","15560763051","Order","111-1732688-6669868","00-V0PZ-WG22","olylo 360 Photo Booth Machine for Parties People to Stand on, Slow Motion Rotating, 360 Camera Booth Machine with LED Ring Light for Parties, Weddings","1","amazon.com","Standard Orders","Amazon","SUNRISE","FL","33351-7979","MarketplaceFacilitator","2,599.00","181.93","0","0","0","0","0","0","0","0","-181.93","-214.92","-181.86","0","0","2,202.22"
"Mar 16, 2022 2:25:15 AM PDT","15560763051","Order","111-1204844-3596252","E5-VSV4-XXLM","olylo 360 Photo Booth Machine for Parties People to Stand on, Slow Motion Rotating, 360 Camera Booth Machine with LED Ring Light for Parties, Weddings","1","amazon.com","Standard Orders","Amazon","PONTIAC","MI","48342-3316","MarketplaceFacilitator","2,699.00","161.94","0","0","0","0","0","0","0","0","-161.94","-222.92","-73.12","0","0","2,402.96"
"Mar 16, 2022 12:16:32 PM PDT","15560763051","Order","111-9398628-4657022","B300-Yellow and White","olylo Anti Bark Collar, Bark Collar for Medium Dogs with Beep and Shock, 2 Adjustable Sensitivity and 5 Intensity Shock, Stop Barking Dog Collar-Yello","1","amazon.com","Standard Orders","Amazon","WHEELOCK","TX","77882-0091","MarketplaceFacilitator","20.99","1.31","0","0","0","0","0","0","0","0","-1.31","-3.15","-3.54","0","0","14.30"
"Mar 16, 2022 4:26:35 PM PDT","15560763051","Order","114-8191323-9855419","B300-Black and White","olylo Anti Bark Collar, Bark Collar for Medium Dogs with Beep and Shock, 2 Adjustable Sensitivity and 5 Intensity Shock, Stop Barking Dog Collar-Black","1","amazon.com","Standard Orders","Amazon","BROOKLYN","NY","11219-6232","MarketplaceFacilitator","20.99","1.86","5.99","0.53","0","0","0","0","0","0","-2.39","-3.15","-9.64","0","0","14.19"
"Mar 16, 2022 8:33:02 PM PDT","15560763051","Order","112-0878726-3243424","B300-Black and White","olylo Anti Bark Collar, Bark Collar for Medium Dogs with Beep and Shock, 2 Adjustable Sensitivity and 5 Intensity Shock, Stop Barking Dog Collar-Black","1","amazon.com","Standard Orders","Amazon","WAILUKU","HI","96793-9767","MarketplaceFacilitator","25.99","1.08","0","0","0","0","0","0","0","0","-1.08","-3.90","-3.65","0","0","18.44"
