,日期,时间,卖家,价格,发货,FBA库存数量,评论数,评分,排名,近3日排名走势
1,2022-06-26,22:18:48,MWE Tech,"$2,199.00",FBA,In Stock.,24,4.3,39,152→82→140→143→59→30→39→47→64→86→41→21→39→
2,2022-06-26,22:12:24,MWE Tech,"$2,380.00",FBA,In Stock.,24,4.3,68,127→58→122→126→150→74→104→111→129→146→179→54→68→
3,2022-06-26,22:19:28,MWE Tech,"$2,799.00",FBM,1,24,4.3,68,38→63→51→64→89→131→62→68→30→20→46→58→68→
4,2022-06-26,22:20:42,MWE Tech,"$3,299.00",FBA,In Stock.,24,4.3,102,271→100→167→179→191→128→143→150→161→171→60→83→102→
5,2022-06-26,22:10:43,AchhaGo US,"$2,199.00",FBA,In Stock.,5,4.8,115,91→128→40→33→119→119→116→128→142→81→103→115→
6,2022-06-26,22:07:34,Looline,"$2,399.00",FBA,13,6,3.8,132,193→210→269→282→291→323→333→338→348→356→89→113→132→
7,2022-06-26,22:28:39,Looline,"$2,399.00",FBA,13,6,3.8,140,222→88→269→282→291→323→333→344→348→356→89→113→140→
8,2022-06-26,22:13:22,Looline,"$2,399.00",FBA,13,6,3.8,140,193→210→269→273→291→323→333→344→348→356→89→113→140→
9,2022-06-26,22:24:42,Looline,"$2,399.00",FBA,13,6,3.8,140,193→210→269→282→291→323→333→344→348→356→89→113→140→
10,2022-06-26,22:27:38,MWE Tech,"$2,499.00",FBA,16,24,4.3,141,62→96→143→149→165→48→115→121→42→66→116→137→141→
11,2022-06-26,22:19:47,OLYLO Direct,"$3,299.00",FBA,1,8,5.0,154,105→132→40→56→74→60→68→79→94→112→142→153→154→
12,2022-06-26,22:33:19,YC technology,"$3,299.00",FBA,12,14,4.0,187,670→672→680→680→682→686→690→691→690→79→139→167→187→
13,2022-06-26,22:05:03,WAHER,"$2,399.00",FBA,15,11,4.0,242,334→342→352→355→358→121→134→148→174→188→217→231→242→
14,2022-06-26,22:11:03,TYTY USA,"$1,395.00",FBA,15,11,3.5,244,235→246→278→286→298→117→150→159→177→195→218→232→244→
15,2022-06-26,22:02:52,OLYLO Direct,"$2,380.00",FBA,In Stock.,8,5.0,255,130→152→96→118→143→185→201→204→211→222→242→250→255→
16,2022-06-26,22:26:40,OLYLO Direct,"$2,499.00",FBA,4,8,5.0,276,185→201→79→111→137→196→205→213→224→236→254→266→276→
17,2022-06-26,22:25:00,OLYLO Direct,"$2,799.00",FBA,In Stock.,8,5.0,278,285→293→139→154→172→213→220→224→236→246→265→275→278→
18,2022-06-26,22:13:04,OLYLO Direct,"$2,199.00",FBA,2,8,5.0,349,115→149→205→223→235→274→288→300→306→316→336→341→349→
19,2022-06-26,22:06:55,OLYLO Direct,"$2,199.00",FBA,2,8,5.0,349,83→149→205→223→235→264→288→294→306→316→336→341→349→
20,2022-06-26,22:14:54,OLYLO Direct,"$2,199.00",FBA,2,8,5.0,349,115→149→205→223→235→274→288→300→306→316→336→341→349→
21,2022-06-26,22:31:07,YC technology,"$2,380.00",FBA,11,14,4.0,364,274→287→304→302→315→328→336→341→344→350→360→358→364→
22,2022-06-26,22:23:18,OLYLO Direct,"$2,999.00",FBA,1,8,5.0,471,115→149→205→223→235→264→288→300→306→316→336→341→471→
23,2022-06-26,22:15:56,WAHER,"$2,199.00",FBA,In Stock.,11,4.0,507,296→304→322→328→338→352→362→498→496→502→506→509→507→
24,2022-06-26,22:28:20,MWE Tech,"$2,999.00",FBA,13,24,4.3,509,414→425→440→443→452→464→475→478→483→491→503→507→509→
25,2022-06-26,22:05:58,YC technology,"$2,799.00",FBA,20,14,4.0,525,497→498→504→504→503→510→512→514→515→520→521→524→525→
26,2022-06-26,22:26:02,OLYLO Direct,"$2,199.00",FBA,5,8,5.0,573,281→299→319→329→340→355→369→372→382→391→565→569→573→
27,2022-06-26,22:27:01,Zlpower,"$1,899.00",FBM,In stock.,25,4.3,627,600→601→604→604→603→607→610→611→612→616→619→624→627→
28,2022-06-26,22:06:17,TYTY USA,"$2,099.00",FBA,10,11,3.5,661,660→659→660→661→660→659→659→659→659→659→659→660→661→
29,2022-06-26,22:15:31,MWE Tech,"$1,899.00",FBA,5,24,4.3,672,627→629→637→636→640→648→652→656→658→660→665→668→672→
30,2022-06-26,22:27:19,HERBSASY,"$2,799.00",FBA,1,3,5.0,686,662→663→667→665→666→671→675→677→675→676→680→686→686→
