,日期,时间,卖家,价格,发货,FBA库存数量,评论数,评分,排名,近3日排名走势
1,2022-07-07,17:01:54,OLYLO Direct,"$2,380.00",FBA,17,14,4.1,3,7→3→
2,2022-07-07,16:45:57,AchhaGo US,"$2,199.00",FBA,In Stock.,6,4.8,53,78→53→
3,2022-07-07,16:54:04,OLYLO Direct,"$2,799.00",FBA,20,14,4.1,66,78→48→48→66→
4,2022-07-07,17:02:13,MWE TECH GROUP,"$2,799.00",FBA,2,0,0.0,89,251→258→261→266→68→161→89→
5,2022-07-07,10:28:14,WAHER,"$2,199.00",FBA,In Stock.,12,4.4,95,501→508→509→512→515→513→285→326→95→
6,2022-07-07,16:59:41,MWE Tech,"$2,799.00",FBM,1,33,4.3,101,53→232→101→
7,2022-07-07,16:55:49,MWE Tech,"$2,380.00",FBA,In Stock.,33,4.3,120,165→62→80→80→102→120→
8,2022-07-07,16:42:53,WAHER,"$2,380.00",FBA,2,12,4.4,136,196→317→113→113→136→
9,2022-07-07,16:42:13,OLYLO Direct,"$2,199.00",FBA,8,14,4.1,153,507→153→
10,2022-07-07,16:44:40,MWE Tech,"$2,499.00",FBA,9,33,4.3,157,294→106→139→157→
11,2022-07-07,16:52:46,MWE Tech,"$2,199.00",FBA,In Stock.,33,4.3,199,153→168→199→
12,2022-07-07,16:59:12,YC technology,"$3,299.00",FBA,11,13,4.0,247,466→477→479→483→485→486→501→186→207→247→
13,2022-07-07,16:38:46,Looline,"$2,380.00",FBA,7,7,3.4,254,228→247→254→
14,2022-07-07,17:02:51,YC technology,"$2,799.00",FBA,19,13,4.0,268,600→27→46→64→82→108→179→247→247→268→
15,2022-07-07,16:53:43,TYTY USA,"$2,099.00",FBA,7,11,3.5,280,221→222→226→229→238→248→269→269→269→271→280→
16,2022-07-07,16:37:33,YC technology,"$2,380.00",FBA,5,13,4.0,292,289→298→84→101→113→137→205→268→288→292→
17,2022-07-07,17:03:47,RXF_USA,"$2,389.00",FBA,In Stock.,132,4.3,295,925→1265→1265→1293→295→
18,2022-07-07,17:03:11,WAHER,"$2,499.00",FBA,6,12,4.4,306,777→281→306→
19,2022-07-07,16:36:55,HARZHI,"$3,299.00",FBA,3,13,4.3,325,1628→1635→1646→1649→1652→1676→1706→1706→1714→325→
20,2022-07-07,16:57:09,HERBSASY,"$2,799.00",FBA,0,3,5.0,348,314→327→348→
21,2022-07-07,16:36:36,MWE Tech,"$2,199.00",FBA,4,33,4.3,360,217→339→360→
22,2022-07-07,16:56:25,MWE Tech,"$1,899.00",FBA,2,33,4.3,363,179→342→359→363→
23,2022-07-07,16:58:17,MWE Tech,"$3,299.00",FBA,17,33,4.3,402,399→399→402→
24,2022-07-07,10:19:11,TYTY USA,"$1,395.00",FBA,11,11,3.5,415,367→415→415→
25,2022-07-07,16:56:50,MWE Tech,"$2,999.00",FBA,10,33,4.3,493,411→426→427→432→433→436→451→475→481→481→491→493→
26,2022-07-07,16:48:38,Looline,"$2,799.00",FBA,4,7,3.4,501,490→501→
27,2022-07-07,16:44:22,Looline,"$2,199.00",FBA,10,7,3.4,532,502→505→504→509→508→508→513→532→
28,2022-07-07,17:02:32,Looline,"$2,199.00",FBA,10,7,3.4,532,502→524→532→
29,2022-07-07,16:45:38,Looline,"$2,199.00",FBA,10,7,3.4,532,502→505→504→509→508→508→513→522→522→524→532→
30,2022-07-07,16:43:45,OLYLO Direct,"$2,199.00",FBA,2,14,4.1,632,215→620→623→629→629→632→
