,日期,时间,卖家,价格,发货,FBA库存数量,评论数,评分,排名,近3日排名走势
1,2022-06-25,14:46:31,MWE Tech,"$2,199.00",FBA,In Stock.,24,4.3,30,168→61→45→132→154→148→152→82→140→143→59→30→
2,2022-06-25,14:32:19,MWE Tech,"$2,499.00",FBA,16,24,4.3,48,58→71→99→134→146→139→62→96→143→149→165→48→
3,2022-06-25,14:35:09,OLYLO Direct,"$3,299.00",FBA,3,8,5.0,60,37→47→78→57→76→78→105→132→40→56→74→60→
4,2022-06-25,14:35:46,MWE Tech,"$2,380.00",FBA,In Stock.,24,4.3,74,249→266→275→282→284→79→127→58→122→126→150→74→
5,2022-06-25,14:48:51,TYTY USA,"$1,395.00",FBA,15,11,3.5,117,441→85→126→172→206→214→235→246→278→286→298→117→
6,2022-06-25,14:32:01,AchhaGo US,"$2,199.00",FBA,In Stock.,5,4.8,119,196→204→214→89→131→56→91→128→40→33→119→
7,2022-06-25,14:41:54,WAHER,"$2,399.00",FBA,15,11,4.0,121,268→286→296→307→321→323→334→342→352→355→358→121→
8,2022-06-25,14:50:17,MWE Tech,"$3,299.00",FBA,In Stock.,24,4.3,128,155→180→198→223→239→249→271→100→167→179→191→128→
9,2022-06-25,14:37:25,MWE Tech,"$2,799.00",FBM,1,24,4.3,131,152→168→180→83→71→75→38→63→51→64→89→131→
10,2022-06-25,14:44:19,OLYLO Direct,"$2,380.00",FBA,In Stock.,8,5.0,185,94→121→61→103→65→71→130→152→96→118→143→185→
11,2022-06-25,14:26:24,OLYLO Direct,"$2,499.00",FBA,5,8,5.0,196,259→305→315→101→139→146→185→201→79→111→137→196→
12,2022-06-25,14:43:24,OLYLO Direct,"$2,799.00",FBA,In Stock.,8,5.0,213,236→252→262→119→151→154→285→293→139→154→172→213→
13,2022-06-25,14:24:59,OLYLO Direct,"$2,199.00",FBA,2,8,5.0,264,662→673→674→678→682→686→83→149→205→223→235→264→
14,2022-06-25,14:24:26,OLYLO Direct,"$2,199.00",FBA,2,8,5.0,264,662→673→674→678→682→686→115→149→205→223→235→264→
15,2022-06-25,14:49:41,OLYLO Direct,"$2,199.00",FBA,2,8,5.0,274,662→673→674→678→682→686→115→149→205→223→235→274→
16,2022-06-25,14:44:36,OLYLO Direct,"$2,199.00",FBA,2,8,5.0,274,662→673→674→678→682→686→115→149→205→223→235→274→
17,2022-06-25,14:43:42,Looline,"$2,399.00",FBA,14,6,3.8,323,580→588→88→143→180→187→222→88→269→282→291→323→
18,2022-06-25,14:27:02,Looline,"$2,399.00",FBA,14,6,3.8,323,513→524→525→94→140→193→210→269→273→291→323→
19,2022-06-25,14:38:45,Looline,"$2,399.00",FBA,14,6,3.8,323,513→524→525→94→140→151→193→210→269→282→291→323→
20,2022-06-25,14:36:27,Looline,"$2,399.00",FBA,14,6,3.8,323,513→524→525→94→140→151→193→210→269→282→291→323→
21,2022-06-25,14:27:57,YC technology,"$2,380.00",FBA,11,13,4.0,328,192→214→227→245→261→265→274→287→304→302→315→328→
22,2022-06-25,14:31:26,WAHER,"$2,199.00",FBA,In Stock.,11,4.0,352,179→202→225→250→274→277→296→304→322→328→338→352→
23,2022-06-25,14:37:43,OLYLO Direct,"$2,199.00",FBA,4,8,5.0,355,161→186→203→232→259→266→281→299→319→329→340→355→
24,2022-06-25,14:39:39,MWE Tech,"$2,999.00",FBA,12,24,4.3,464,333→357→369→383→400→405→414→425→440→443→452→464→
25,2022-06-25,14:44:56,YC technology,"$2,799.00",FBA,20,13,4.0,510,475→486→484→487→490→490→497→498→504→504→503→510→
26,2022-06-25,14:28:34,,"$2,389.00",,0,129,4.3,559,677→702→733→806→832→866→905→936→357→420→468→559→
27,2022-06-25,14:31:08,HARZHI,"$3,299.00",FBA,3,10,3.8,586,1115→1145→1152→1199→1224→1235→1263→1283→404→431→517→586→
28,2022-06-25,14:45:15,Zlpower,"$1,899.00",FBM,In stock.,25,4.3,607,583→591→591→590→593→593→600→601→604→604→603→607→
29,2022-06-25,14:23:27,MWE Tech,"$1,899.00",FBA,5,24,4.3,648,603→610→611→613→620→621→627→629→637→636→640→648→
30,2022-06-25,14:34:48,TYTY USA,"$2,099.00",FBA,10,11,3.5,659,658→658→659→658→659→659→660→659→660→661→660→659→
