,日期,时间,卖家,价格,发货,FBA库存数量,评论数,评分,排名,近3日排名走势
1,2022-07-27,18:39:32,MWE Tech,"$2,799.00",FBA,In Stock.,41,4.4,52,58→65→52→59→60→52→
2,2022-07-27,18:32:02,OLYLO Direct,"$2,799.00",FBM,10,30,4.3,105,86→79→87→91→94→105→
3,2022-07-27,18:26:26,MWE Tech,"$3,299.00",FBA,6,41,4.4,111,304→111→
4,2022-07-27,18:22:19,MWE Tech,"$2,199.00",FBA,In Stock.,41,4.4,128,93→97→102→105→113→128→
5,2022-07-27,18:36:32,MWE Tech,"$2,380.00",FBA,13,41,4.4,151,182→192→191→188→138→151→
6,2022-07-27,18:40:49,OLYLO Direct,"$2,499.00",FBA,13,30,4.3,166,215→227→235→246→251→166→
7,2022-07-27,18:37:10,AchhaGo US,"$2,199.00",FBA,In Stock.,7,4.1,180,148→151→154→158→159→180→180→
8,2022-07-27,18:28:48,OLYLO Direct,"$2,380.00",FBA,15,30,4.3,181,155→157→158→161→161→181→
9,2022-07-27,18:31:49,olylo Machine,"$2,799.00",FBA,4,0,0.0,195,1419→1419→1419→1418→1418→195→
10,2022-07-27,18:23:51,WAHER,"$2,380.00",FBA,2,12,4.4,217,444→448→164→178→182→217→
11,2022-07-27,18:30:05,OLYLO Direct,"$3,299.00",FBA,In Stock.,30,4.3,223,167→124→182→190→196→223→
12,2022-07-27,18:38:15,OLYLO Direct,"$1,899.00",FBA,12,30,4.3,225,477→494→500→515→523→225→
13,2022-07-27,18:27:17,HARZHI,"$2,799.00",FBA,In Stock.,13,4.3,285,255→261→265→269→269→285→
14,2022-07-27,18:34:11,YC technology,"$2,380.00",FBA,11,18,4.1,288,403→288→
15,2022-07-27,18:21:27,Looline,"$2,380.00",FBA,13,9,3.8,294,240→248→254→263→270→294→
16,2022-07-27,18:21:54,MWE Tech,"$2,199.00",FBA,2,41,4.4,313,263→313→
17,2022-07-27,18:36:18,MWE Tech,"$2,199.00",FBA,2,41,4.4,313,259→270→275→278→291→313→313→
18,2022-07-27,18:29:39,MWE Tech,"$2,199.00",FBA,2,41,4.4,313,259→270→275→284→291→313→
19,2022-07-27,18:24:16,Zanogi-US,"$2,799.00",FBA,18,0,0.0,376,310→321→326→343→353→376→
20,2022-07-27,18:27:56,Zanogi-US,"$2,799.00",FBA,18,0,0.0,376,321→326→343→353→376→
21,2022-07-27,18:39:19,HARZHI,"$3,299.00",FBA,12,13,4.3,378,352→378→
22,2022-07-27,18:40:36,YC technology,"$2,799.00",FBA,20,18,4.1,391,397→400→399→396→395→391→
23,2022-07-27,18:33:07,HARZHI,"$2,699.00",FBA,2,13,4.3,395,351→395→
24,2022-07-27,18:38:53,HERBSASY,"$2,799.00",FBA,2,3,5.0,402,365→380→383→387→389→402→
25,2022-07-27,18:33:20,RXF_USA,"$2,199.00",FBA,7,133,4.3,418,280→293→311→337→347→418→
26,2022-07-27,18:33:33,YC technology,"$2,499.00",FBA,17,18,4.1,424,376→424→
27,2022-07-27,18:29:14,WAHER,"$2,199.00",FBA,In Stock.,12,4.4,445,310→445→
28,2022-07-27,18:32:28,Looline,"$2,799.00",FBA,10,9,3.8,483,463→474→477→480→483→
29,2022-07-27,18:34:37,MWE TECH GROUP,"$3,299.00",FBA,1,0,5.0,492,400→427→437→451→458→492→
30,2022-07-27,18:28:21,YC technology,"$2,199.00",FBA,1,0,0.0,508,434→445→452→470→478→508→
