,日期,时间,卖家,价格,发货,FBA库存数量,评论数,评分,排名,近3日排名走势
1,2022-06-30,20:31:42,,"$2,100.65",,1,27,4.2,79,58→74→79→99→111→
2,2022-06-30,20:24:42,OLYLO Direct,"$2,799.00",FBA,In Stock.,11,4.4,82,44→71→82→73→73→85→96→
3,2022-06-30,20:26:21,AchhaGo US,"$2,199.00",FBA,In Stock.,6,4.8,106,123→157→102→69→9999→106→68→82→
4,2022-06-30,21:33:53,TYTY USA,"$1,395.00",FBA,13,11,3.5,121,235→262→301→321→321→121→146→74→
5,2022-06-30,20:25:33,OLYLO Direct,"$2,499.00",FBA,4,11,4.4,141,239→141→219→120→9999→141→187→94→
6,2022-06-30,20:34:15,MWE Tech,"$3,299.00",FBA,18,27,4.2,153,121→154→211→116→9999→153→176→176→197→197→
7,2022-06-30,20:30:16,WAHER,"$2,399.00",FBA,13,12,4.0,200,350→357→374→179→9999→200→228→228→246→258→
8,2022-06-30,21:34:44,YC technology,"$3,299.00",FBA,11,13,4.0,251,50→85→179→179→199→223→232→9999→251→
9,2022-06-30,16:21:54,Looline,"$2,399.00",FBA,11,6,3.8,256,190→154→219→219→255→256→131→177→
10,2022-06-30,20:30:32,Looline,"$2,399.00",FBA,11,6,3.8,267,303→165→140→255→9999→267→131→131→154→177→
11,2022-06-30,20:33:41,Looline,"$2,399.00",FBA,11,6,3.8,273,313→130→255→255→256→9999→273→131→154→
12,2022-06-30,20:32:17,LIKVIDIU,"$2,799.00",FBA,8,0,0.0,282,9999→9999→253→264→9999→282→292→292→304→304→
13,2022-06-30,20:36:02,OLYLO Direct,"$2,199.00",FBA,9,11,4.4,285,603→174→244→272→9999→285→
14,2022-06-30,21:35:19,WAHER,"$2,199.00",FBA,In Stock.,12,4.0,350,259→276→147→147→183→183→341→9999→350→357→377→
15,2022-06-30,20:26:55,OLYLO Direct,"$2,199.00",FBA,2,11,4.4,355,257→279→355→367→378→
16,2022-06-30,20:29:59,YC technology,"$2,380.00",FBA,11,13,4.0,428,402→405→423→431→9999→428→428→428→431→431→
17,2022-06-30,21:32:27,WAHER,"$2,799.00",FBA,In Stock.,12,4.0,493,1220→895→872→987→1038→493→326→310→
18,2022-06-30,21:33:19,WAHER,"$3,299.00",FBA,17,12,4.0,493,1282→895→872→987→1038→493→
19,2022-06-30,20:33:58,OLYLO Direct,"$2,499.00",FBA,2,11,4.4,556,257→279→338→346→9999→556→557→557→561→561→
20,2022-06-30,20:25:16,RXF_USA,"$2,199.00",FBA,16,131,4.3,668,1202→1229→575→610→9999→668→733→367→
21,2022-06-30,16:20:28,HERBSASY,"$2,799.00",FBA,1,3,5.0,721,703→704→704→704→719→721→724→727→
22,2022-06-30,21:35:01,HARZHI,"$2,499.00",FBA,19,10,3.8,758,1074→597→681→708→758→758→791→828→
23,2022-06-30,21:34:10,YC technology,"$2,199.00",FBA,12,13,4.0,774,759→759→764→764→769→769→773→9999→774→
24,2022-06-30,20:29:29,LIKVIDIU,"$3,299.00",FBA,2,0,0.0,793,9999→9999→785→788→9999→793→794→795→
25,2022-06-30,16:21:20,MWE Tech,"$3,899.00",FBA,3,27,4.2,819,794→795→817→819→821→825→
26,2022-06-30,20:28:22,,"$2,499.00",,0,131,4.3,913,493→574→913→945→945→980→1011→
27,2022-06-30,21:32:44,HERBSASY,"$2,199.00",FBM,In stock.,3,5.0,1248,1242→1241→1245→1248→1249→1248→1248→1249→
28,2022-06-30,21:35:53,HERBSASY,"$2,199.00",FBM,In stock.,3,5.0,1248,1242→1241→1245→1247→1248→1248→1249→9999→1248→1248→1249→
29,2022-06-30,20:29:12,HERBSASY,"$2,199.00",FBM,In stock.,3,5.0,1249,1242→1241→1247→1248→9999→1249→1248→1249→
30,2022-06-30,20:27:12,HERBSASY,"$2,199.00",FBM,In stock.,3,5.0,1249,1242→1241→1245→1248→9999→1249→1248→1248→1249→1249→
