,日期,时间,卖家,价格,发货,FBA库存数量,评论数,评分,排名,近3日排名走势
1,2022-06-23,04:36:23,OLYLO Direct,"$3,299.00",FBA,1,9,5.0,47,57→81→74→106→110→127→142→24→34→28→37→47→
2,2022-06-23,04:39:49,MWE Tech,"$2,199.00",FBA,In Stock.,24,4.3,61,76→96→66→59→65→88→106→154→172→170→168→61→
3,2022-06-23,04:46:33,MWE Tech,"$2,499.00",FBA,18,24,4.3,71,256→70→61→58→67→45→62→57→37→46→58→71→
4,2022-06-23,04:47:09,TYTY USA,"$1,395.00",FBA,17,11,3.5,85,390→394→399→404→405→410→414→428→428→434→441→85→
5,2022-06-23,04:44:54,OLYLO Direct,"$2,380.00",FBA,In Stock.,9,5.0,121,175→187→218→241→245→257→262→135→53→68→94→121→
6,2022-06-23,04:44:36,MWE Tech,"$2,799.00",FBM,1,24,4.3,168,48→38→44→42→46→64→80→129→146→146→152→168→
7,2022-06-23,04:34:56,MWE Tech,"$3,299.00",FBA,In Stock.,24,4.3,180,361→361→368→373→369→370→376→386→107→123→155→180→
8,2022-06-23,04:48:05,OLYLO Direct,"$2,199.00",FBA,5,9,5.0,186,485→487→485→489→489→489→491→500→113→132→161→186→
9,2022-06-23,04:43:30,WAHER,"$2,199.00",FBA,In Stock.,10,3.9,202,389→390→395→399→399→403→408→104→138→158→179→202→
10,2022-06-23,04:48:56,AchhaGo US,"$2,199.00",FBA,In Stock.,5,4.8,204,87→109→154→178→187→75→102→161→181→191→196→204→
11,2022-06-23,04:33:10,YC technology,"$2,399.00",FBA,5,13,4.0,214,232→235→250→267→268→276→282→121→156→173→192→214→
12,2022-06-23,04:30:01,OLYLO Direct,"$2,799.00",FBA,In Stock.,9,5.0,252,88→113→87→128→130→147→164→202→215→224→236→252→
13,2022-06-23,04:34:04,MWE Tech,"$2,380.00",FBA,In Stock.,24,4.3,266,207→215→52→60→148→169→185→201→231→241→249→266→
14,2022-06-23,04:30:18,WAHER,"$2,399.00",FBA,16,10,3.9,286,220→69→133→169→176→192→205→241→252→260→268→286→
15,2022-06-23,04:28:51,OLYLO Direct,"$2,499.00",FBA,6,9,5.0,305,148→163→75→146→150→172→190→228→238→249→259→305→
16,2022-06-23,04:27:41,MWE Tech,"$2,999.00",FBA,9,24,4.3,357,185→198→227→250→256→268→276→305→316→324→333→357→
17,2022-06-23,04:37:32,YC technology,"$2,199.00",FBA,10,13,4.0,394,246→256→275→296→300→311→321→346→357→368→377→394→
18,2022-06-23,04:51:50,YC technology,"$2,199.00",FBA,10,13,4.0,394,246→256→275→296→300→311→321→346→357→368→377→394→
19,2022-06-23,04:42:22,YC technology,"$2,799.00",FBA,6,13,4.0,486,334→339→455→454→454→456→458→468→470→473→475→486→
20,2022-06-23,04:32:35,Looline,"$2,199.00",FBA,2,6,3.8,524,474→474→480→487→488→488→493→503→504→508→513→524→
21,2022-06-23,04:47:27,Looline,"$2,199.00",FBA,2,6,3.8,524,378910→379929→381360→385036→385895→387567→388468→503→504→508→513→524→
22,2022-06-23,04:41:47,Looline,"$2,199.00",FBA,2,6,3.8,524,474→474→480→487→488→488→493→503→504→508→513→524→
23,2022-06-23,04:52:06,Looline,"$2,399.00",FBA,13,6,3.8,588,546→548→554→557→558→560→562→573→575→578→580→588→
24,2022-06-23,04:30:35,Zlpower,"$1,899.00",FBM,In stock.,23,4.3,591,548→550→555→561→563→565→566→570→576→579→583→591→
25,2022-06-23,04:46:16,MWE Tech,"$1,899.00",FBA,5,24,4.3,610,565→568→573→576→577→580→581→586→594→598→603→610→
26,2022-06-23,04:50:41,WAHER,"$2,799.00",FBA,In Stock.,10,3.9,633,868→990→821→1074→1088→1141→1245→1429→1509→1553→1557→633→
27,2022-06-23,04:35:14,WAHER,"$3,299.00",FBA,19,10,3.9,633,868→990→821→1074→1088→1141→1245→1429→1509→1553→1557→633→
28,2022-06-23,04:29:08,WAHER,"$2,399.00",FBM,0,0,5.0,633,868→990→821→1074→1088→1141→1245→1342→1509→1553→1561→633→
29,2022-06-23,04:38:40,HERBSASY,"$2,799.00",FBA,0,3,5.0,650,610→611→619→620→620→621→622→634→635→640→644→650→
30,2022-06-23,04:40:24,TYTY USA,"$2,099.00",FBA,10,11,3.5,658,655→655→655→654→654→653→653→654→654→655→658→658→
