,日期,时间,卖家,价格,发货,FBA库存数量,评论数,评分,排名,近3日排名走势
1,2022-06-27,14:14:31,MWE Tech,"$2,380.00",FBA,In Stock.,24,4.3,50,126→150→74→104→111→129→146→179→54→68→93→113→50→
2,2022-06-27,14:21:44,OLYLO Direct,"$3,299.00",FBA,2,8,5.0,58,56→74→60→68→79→94→112→142→153→154→28→42→58→
3,2022-06-27,14:17:59,WAHER,"$2,199.00",FBA,In Stock.,12,4.0,80,328→338→352→362→498→496→502→506→509→507→506→508→80→
4,2022-06-27,14:28:26,OLYLO Direct,"$2,499.00",FBA,3,8,5.0,97,111→137→196→205→213→224→236→254→266→276→287→70→97→
5,2022-06-27,14:29:57,MWE Tech,"$2,999.00",FBA,12,24,4.3,107,443→452→464→475→478→483→491→503→507→509→512→76→107→
6,2022-06-27,14:04:45,OLYLO Direct,"$2,380.00",FBA,In Stock.,8,5.0,110,118→143→185→201→204→211→222→242→250→255→264→44→110→
7,2022-06-27,14:21:23,MWE Tech,"$2,799.00",FBM,1,24,4.3,128,64→89→131→62→68→30→20→46→58→68→79→95→128→
8,2022-06-27,14:13:14,TYTY USA,"$1,395.00",FBA,14,11,3.5,138,286→298→117→150→159→177→195→218→232→244→49→77→138→
9,2022-06-27,14:20:47,MWE Tech,"$2,199.00",FBA,In Stock.,24,4.3,157,143→59→30→39→47→64→86→41→21→39→98→143→157→
10,2022-06-27,14:12:55,AchhaGo US,"$2,199.00",FBA,In Stock.,6,4.8,175,40→33→119→119→116→128→142→81→103→115→128→164→175→
11,2022-06-27,14:22:45,MWE Tech,"$3,299.00",FBA,In Stock.,24,4.3,180,179→191→128→143→150→161→171→60→83→102→125→146→180→
12,2022-06-27,14:29:20,MWE Tech,"$2,499.00",FBA,17,24,4.3,204,149→165→48→115→121→42→66→116→137→141→152→165→204→
13,2022-06-27,14:30:15,Looline,"$2,399.00",FBA,13,6,3.8,215,282→291→323→333→344→348→356→89→113→140→160→201→215→
14,2022-06-27,14:15:32,Looline,"$2,399.00",FBA,13,6,3.8,215,273→291→323→333→344→348→356→89→113→140→160→201→215→
15,2022-06-27,14:09:43,Looline,"$2,399.00",FBA,13,6,3.8,215,282→291→323→333→338→348→356→89→113→132→160→179→215→
16,2022-06-27,14:26:31,Looline,"$2,399.00",FBA,13,6,3.8,215,282→291→323→333→344→348→356→89→113→140→160→201→215→
17,2022-06-27,14:34:56,YC technology,"$3,299.00",FBA,12,14,4.0,252,680→682→686→690→691→690→79→139→167→187→203→217→252→
18,2022-06-27,14:07:03,WAHER,"$2,399.00",FBA,15,12,4.0,288,355→358→121→134→148→174→188→217→231→242→252→260→288→
19,2022-06-27,14:26:50,OLYLO Direct,"$2,799.00",FBA,In Stock.,8,5.0,312,154→172→213→220→224→236→246→265→275→278→283→305→312→
20,2022-06-27,14:32:47,YC technology,"$2,380.00",FBA,11,14,4.0,381,302→315→328→336→341→344→350→360→358→364→368→373→381→
21,2022-06-27,14:15:13,OLYLO Direct,"$2,199.00",FBA,1,8,5.0,386,223→235→274→288→300→306→316→336→341→349→355→376→386→
22,2022-06-27,14:09:05,OLYLO Direct,"$2,199.00",FBA,1,8,5.0,386,223→235→264→288→294→306→316→336→341→349→355→367→386→
23,2022-06-27,14:17:03,OLYLO Direct,"$2,199.00",FBA,1,8,5.0,386,223→235→274→288→300→306→316→336→341→349→355→376→386→
24,2022-06-27,14:08:02,YC technology,"$2,799.00",FBA,In Stock.,14,4.0,536,504→503→510→512→514→515→520→521→524→525→529→529→536→
25,2022-06-27,14:27:49,OLYLO Direct,"$2,199.00",FBA,5,8,5.0,587,329→340→355→369→372→382→391→565→569→573→574→578→587→
26,2022-06-27,14:28:44,Zlpower,"$1,899.00",FBM,In stock.,25,4.3,634,604→603→607→610→611→612→616→619→624→627→625→627→634→
27,2022-06-27,14:08:24,TYTY USA,"$2,099.00",FBA,10,11,3.5,661,661→660→659→659→659→659→659→659→660→661→661→661→661→
28,2022-06-27,14:17:40,MWE Tech,"$1,899.00",FBA,5,24,4.3,680,636→640→648→652→656→658→660→665→668→672→673→675→680→
29,2022-06-27,14:29:02,HERBSASY,"$2,799.00",FBA,1,3,5.0,695,665→666→671→675→677→675→676→680→686→686→686→688→695→
30,2022-06-27,14:11:22,WAHER,"$2,499.00",FBA,7,12,4.0,710,687→687→692→694→695→694→696→696→701→702→701→703→710→
