,日期,时间,卖家,价格,发货,FBA库存数量,评论数,评分,排名,近3日排名走势
1,2022-06-27,07:22:16,OLYLO Direct,"$3,299.00",FBA,2,8,5.0,42,56→74→60→68→79→94→112→142→153→154→28→42→
2,2022-06-27,07:05:59,OLYLO Direct,"$2,380.00",FBA,In Stock.,8,5.0,44,118→143→185→201→204→211→222→242→250→255→264→44→
3,2022-06-27,07:28:49,OLYLO Direct,"$2,499.00",FBA,3,8,5.0,70,111→137→196→205→213→224→236→254→266→276→287→70→
4,2022-06-27,07:30:23,MWE Tech,"$2,999.00",FBA,12,24,4.3,76,443→452→464→475→478→483→491→503→507→509→512→76→
5,2022-06-27,07:14:00,TYTY USA,"$1,395.00",FBA,14,11,3.5,77,286→298→117→150→159→177→195→218→232→244→49→77→
6,2022-06-27,07:21:57,MWE Tech,"$2,799.00",FBM,1,24,4.3,95,64→89→131→62→68→30→20→46→58→68→79→95→
7,2022-06-27,07:15:14,MWE Tech,"$2,380.00",FBA,In Stock.,24,4.3,113,126→150→74→104→111→129→146→179→54→68→93→113→
8,2022-06-27,07:21:21,MWE Tech,"$2,199.00",FBA,In Stock.,24,4.3,143,143→59→30→39→47→64→86→41→21→39→98→143→
9,2022-06-27,07:23:09,MWE Tech,"$3,299.00",FBA,In Stock.,24,4.3,146,179→191→128→143→150→161→171→60→83→102→125→146→
10,2022-06-27,07:13:43,AchhaGo US,"$2,199.00",FBA,In Stock.,6,4.8,164,40→33→119→119→116→128→142→81→103→115→128→164→
11,2022-06-27,07:29:46,MWE Tech,"$2,499.00",FBA,17,24,4.3,165,149→165→48→115→121→42→66→116→137→141→152→165→
12,2022-06-27,07:10:42,Looline,"$2,399.00",FBA,13,6,3.8,179,282→291→323→333→338→348→356→89→113→132→160→179→
13,2022-06-27,07:30:41,Looline,"$2,399.00",FBA,13,6,3.8,201,282→291→323→333→344→348→356→89→113→140→160→201→
14,2022-06-27,07:16:17,Looline,"$2,399.00",FBA,13,6,3.8,201,273→291→323→333→344→348→356→89→113→140→160→201→
15,2022-06-27,07:26:48,Looline,"$2,399.00",FBA,13,6,3.8,201,282→291→323→333→344→348→356→89→113→140→160→201→
16,2022-06-27,07:35:26,YC technology,"$3,299.00",FBA,12,14,4.0,217,680→682→686→690→691→690→79→139→167→187→203→217→
17,2022-06-27,07:08:18,WAHER,"$2,399.00",FBA,15,11,4.0,260,355→358→121→134→148→174→188→217→231→242→252→260→
18,2022-06-27,07:27:06,OLYLO Direct,"$2,799.00",FBA,In Stock.,8,5.0,305,154→172→213→220→224→236→246→265→275→278→283→305→
19,2022-06-27,07:10:06,OLYLO Direct,"$2,199.00",FBA,2,8,5.0,367,223→235→264→288→294→306→316→336→341→349→355→367→
20,2022-06-27,07:33:07,YC technology,"$2,380.00",FBA,11,14,4.0,373,302→315→328→336→341→344→350→360→358→364→368→373→
21,2022-06-27,07:15:51,OLYLO Direct,"$2,199.00",FBA,2,8,5.0,376,223→235→274→288→300→306→316→336→341→349→355→376→
22,2022-06-27,07:17:44,OLYLO Direct,"$2,199.00",FBA,2,8,5.0,376,223→235→274→288→300→306→316→336→341→349→355→376→
23,2022-06-27,07:18:39,WAHER,"$2,199.00",FBA,In Stock.,11,4.0,508,328→338→352→362→498→496→502→506→509→507→506→508→
24,2022-06-27,07:09:11,YC technology,"$2,799.00",FBA,In Stock.,14,4.0,529,504→503→510→512→514→515→520→521→524→525→529→529→
25,2022-06-27,07:28:09,OLYLO Direct,"$2,199.00",FBA,5,8,5.0,578,329→340→355→369→372→382→391→565→569→573→574→578→
26,2022-06-27,07:29:10,Zlpower,"$1,899.00",FBM,In stock.,25,4.3,627,604→603→607→610→611→612→616→619→624→627→625→627→
27,2022-06-27,07:09:30,TYTY USA,"$2,099.00",FBA,10,11,3.5,661,661→660→659→659→659→659→659→659→660→661→661→661→
28,2022-06-27,07:18:21,MWE Tech,"$1,899.00",FBA,5,24,4.3,675,636→640→648→652→656→658→660→665→668→672→673→675→
29,2022-06-27,07:29:28,HERBSASY,"$2,799.00",FBA,1,3,5.0,688,665→666→671→675→677→675→676→680→686→686→686→688→
30,2022-06-27,07:12:15,WAHER,"$2,499.00",FBA,6,11,4.0,703,687→687→692→694→695→694→696→696→701→702→701→703→
