"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"May 1, 2022 12:55:54 AM PDT","15838702931","Order","111-1394300-5467431","80cm31.5inchFWX","360 Photo Booth Machine for Parties with Free Logo Ring Light Selfie Holder Accessories,3 People Stand on Remote Control Automatic Spin 360 Video Came","1","amazon.com","Standard Orders","Amazon","PHOENIX","AZ","85035-2085","MarketplaceFacilitator","2,399.00","206.31","0","0","0","0","0","0","0","0","-206.31","-198.92","-53.68","0","0","2,146.40"
"May 1, 2022 4:29:47 AM PDT","15838702931","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-501.93","0","-501.93"
"May 2, 2022 3:00:24 AM PDT","15870045011","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-372.93","0","-372.93"
"May 2, 2022 5:26:55 AM PDT","15870045011","Transfer","","","To your account ending in: 121, Bank Transfer ID: 5H7G5DEYJ9HXT9Q","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-8,258.04","-8,258.04"
"May 2, 2022 11:11:29 AM PDT","15870045011","Order","111-2684115-3325850","80cm31.5inchFWX","360 Photo Booth Machine for Parties with Free Logo Ring Light Selfie Holder Accessories,3 People Stand on Remote Control Automatic Spin 360 Video Came","1","amazon.com","Standard Orders","Amazon","MONROE","NY","10950-2519","MarketplaceFacilitator","2,399.00","194.92","0","0","0","0","0","0","0","0","-194.92","0","-53.68","0","0","2,345.32"
"May 2, 2022 9:14:48 PM PDT","15870045011","Refund","112-9625276-7789039","E5-VSV4-XXLM","olylo 360 Photo Booth Machine for Parties People to Stand on, Slow Motion Rotating, 360 Camera Booth Machine with LED Ring Light for Parties, Weddings","1","amazon.com","Standard Orders","Amazon","BALTIMORE","MD","21213-1830","MarketplaceFacilitator","-2,699.00","-161.94","0","0","0","0","0","0","0","0","161.94","217.92","0","0","0","-2,481.08"
"May 3, 2022 12:23:50 AM PDT","15870045011","Order","113-6312516-3045007","PB-Logo","olylo 360 Photo Booth Custom Logo Service","1","amazon.com","Standard Orders","Seller","LOWELL","MI","49331-8893","MarketplaceFacilitator","80.00","4.65","0","0","0","0","0","0","-2.49","0","-4.65","-11.63","0","0","0","65.88"
"May 3, 2022 12:24:07 AM PDT","15870045011","Order","114-2439099-8582602","115F-FBM","360 Photo Booth Machine for Parties with Free Logo Ring Light Selfie Holder Accessories,7 People Stand on Remote Control Automatic Spin 360 Video Came","1","amazon.com","Standard Orders","Seller","FORNEY","TX","75126-3858","MarketplaceFacilitator","3,299.00","206.19","0","0","0","0","0","0","0","0","-206.19","0","0","0","0","3,299.00"
"May 3, 2022 12:24:21 AM PDT","15870045011","Order","112-2309071-5573023","115F-FBM","360 Photo Booth Machine for Parties with Free Logo Ring Light Selfie Holder Accessories,7 People Stand on Remote Control Automatic Spin 360 Video Came","1","amazon.com","Standard Orders","Seller","PIEDMONT","SC","29673-9691","MarketplaceFacilitator","3,299.00","197.94","0","0","0","0","0","0","0","0","-197.94","-270.92","0","0","0","3,028.08"
"May 3, 2022 11:00:44 AM PDT","15870045011","Order","113-2681348-5701062","L0-A6SK-FXXP","360 Photo Booth Machine for Parties with Free Logo Ring Light Selfie Holder Accessories,5 People Stand on Remote Control Automatic Spin 360 Video Came","1","amazon.com","Standard Orders","Amazon","FREDERICKSBURG","VA","22405-1848","MarketplaceFacilitator","2,999.00","148.35","0","0","0","0","0","0","-200.00","0","-148.35","0","-128.30","0","0","2,670.70"
"May 3, 2022 11:00:56 AM PDT","15870045011","Order","111-2381826-5794614","L0-A6SK-FXXP","360 Photo Booth Machine for Parties with Free Logo Ring Light Selfie Holder Accessories,5 People Stand on Remote Control Automatic Spin 360 Video Came","1","amazon.com","Standard Orders","Amazon","PORT ALLEN","LA","70767-2216","MarketplaceFacilitator","2,999.00","264.51","0","0","0","0","0","0","-200.00","0","-264.51","0","-128.30","0","0","2,670.70"
"May 3, 2022 11:11:11 AM PDT","15870045011","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-501.54","0","-501.54"
"May 3, 2022 3:22:20 PM PDT","15870045011","Order","113-9584078-9746612","00-V0PZ-WG22","360 Photo Booth Machine for Parties with Free Logo Ring Light Selfie Holder Accessories,5 People Stand on Remote Control Automatic Spin 360 Video Came","1","amazon.com","Standard Orders","Amazon","MEDFORD","NY","11763-1605","MarketplaceFacilitator","2,699.00","215.54","0","0","0","0","0","0","-200.00","0","-215.54","0","-126.64","0","0","2,372.36"
"May 3, 2022 3:22:58 PM PDT","15870045011","Order","113-9230703-3124249","00-V0PZ-WG22","360 Photo Booth Machine for Parties with Free Logo Ring Light Selfie Holder Accessories,5 People Stand on Remote Control Automatic Spin 360 Video Came","1","amazon.com","Standard Orders","Amazon","LOWELL","MI","49331-8893","MarketplaceFacilitator","2,699.00","145.29","62.70","0","0","0","0","0","-340.21","0","-145.29","0","-126.64","0","0","2,294.85"
"May 3, 2022 4:20:07 PM PDT","15870045011","Order","113-8399298-7609068","80cm31.5inchFWX","360 Photo Booth Machine for Parties with Free Logo Ring Light Selfie Holder Accessories,3 People Stand on Remote Control Automatic Spin 360 Video Came","1","amazon.com","Standard Orders","Amazon","BRONX","NY","10469-1312","MarketplaceFacilitator","2,399.00","212.91","0","0","0","0","0","0","0","0","-212.91","0","-53.68","0","0","2,345.32"
"May 3, 2022 6:56:56 PM PDT","15870045011","Order","112-1420508-8342654","115F-FBM","360 Photo Booth Machine for Parties with Free Logo Ring Light Selfie Holder Accessories,7 People Stand on Remote Control Automatic Spin 360 Video Came","1","amazon.com","Standard Orders","Seller","INKSTER","MI","48141-1954","MarketplaceFacilitator","3,299.00","197.94","0","0","0","0","0","0","0","0","-197.94","0","0","0","0","3,299.00"
"May 3, 2022 6:57:24 PM PDT","15870045011","Order","112-6658042-2064248","115F-FBM","360 Photo Booth Machine for Parties with Free Logo Ring Light Selfie Holder Accessories,7 People Stand on Remote Control Automatic Spin 360 Video Came","1","amazon.com","Standard Orders","Seller","CHESTERFIELD","VA","23832-4403","MarketplaceFacilitator","3,299.00","197.94","0","0","0","0","0","0","0","0","-197.94","0","0","0","0","3,299.00"
