,日期,时间,卖家,价格,发货,FBA库存数量,评论数,评分,排名,近3日排名走势
1,2022-06-26,22:18:48,MWE Tech,"$2,199.00",FBA,In Stock.,24,4.3,39,143→59→30→39→47→64→86→41→21→39→98→143→
2,2022-06-26,22:12:24,MWE Tech,"$2,380.00",FBA,In Stock.,24,4.3,68,126→150→74→104→111→129→146→179→54→68→93→113→
3,2022-06-26,22:19:28,MWE Tech,"$2,799.00",FBM,1,24,4.3,68,64→89→131→62→68→30→20→46→58→68→79→95→
4,2022-06-26,22:20:42,MWE Tech,"$3,299.00",FBA,In Stock.,24,4.3,102,179→191→128→143→150→161→171→60→83→102→125→146→
5,2022-06-26,22:10:43,AchhaGo US,"$2,199.00",FBA,In Stock.,5,4.8,115,40→33→119→119→116→128→142→81→103→115→128→164→
6,2022-06-26,22:07:34,Looline,"$2,399.00",FBA,13,6,3.8,132,282→291→323→333→338→348→356→89→113→132→160→179→
7,2022-06-26,22:28:39,Looline,"$2,399.00",FBA,13,6,3.8,140,282→291→323→333→344→348→356→89→113→140→160→201→
8,2022-06-26,22:13:22,Looline,"$2,399.00",FBA,13,6,3.8,140,273→291→323→333→344→348→356→89→113→140→160→201→
9,2022-06-26,22:24:42,Looline,"$2,399.00",FBA,13,6,3.8,140,282→291→323→333→344→348→356→89→113→140→160→201→
10,2022-06-26,22:27:38,MWE Tech,"$2,499.00",FBA,16,24,4.3,141,149→165→48→115→121→42→66→116→137→141→152→165→
11,2022-06-26,22:19:47,OLYLO Direct,"$3,299.00",FBA,1,8,5.0,154,56→74→60→68→79→94→112→142→153→154→28→42→
12,2022-06-26,22:33:19,YC technology,"$3,299.00",FBA,12,14,4.0,187,680→682→686→690→691→690→79→139→167→187→203→217→
13,2022-06-26,22:05:03,WAHER,"$2,399.00",FBA,15,11,4.0,242,355→358→121→134→148→174→188→217→231→242→252→260→
14,2022-06-26,22:11:03,TYTY USA,"$1,395.00",FBA,15,11,3.5,244,286→298→117→150→159→177→195→218→232→244→49→77→
15,2022-06-26,22:02:52,OLYLO Direct,"$2,380.00",FBA,In Stock.,8,5.0,255,118→143→185→201→204→211→222→242→250→255→264→44→
16,2022-06-26,22:26:40,OLYLO Direct,"$2,499.00",FBA,4,8,5.0,276,111→137→196→205→213→224→236→254→266→276→287→70→
17,2022-06-26,22:25:00,OLYLO Direct,"$2,799.00",FBA,In Stock.,8,5.0,278,154→172→213→220→224→236→246→265→275→278→283→305→
18,2022-06-26,22:13:04,OLYLO Direct,"$2,199.00",FBA,2,8,5.0,349,223→235→274→288→300→306→316→336→341→349→355→376→
19,2022-06-26,22:06:55,OLYLO Direct,"$2,199.00",FBA,2,8,5.0,349,223→235→264→288→294→306→316→336→341→349→355→367→
20,2022-06-26,22:14:54,OLYLO Direct,"$2,199.00",FBA,2,8,5.0,349,223→235→274→288→300→306→316→336→341→349→355→376→
21,2022-06-26,22:31:07,YC technology,"$2,380.00",FBA,11,14,4.0,364,302→315→328→336→341→344→350→360→358→364→368→373→
22,2022-06-26,22:23:18,OLYLO Direct,"$2,999.00",FBA,1,8,5.0,471,223→235→264→288→300→306→316→336→341→471→1063→1065→
23,2022-06-26,22:15:56,WAHER,"$2,199.00",FBA,In Stock.,11,4.0,507,328→338→352→362→498→496→502→506→509→507→506→508→
24,2022-06-26,22:28:20,MWE Tech,"$2,999.00",FBA,13,24,4.3,509,443→452→464→475→478→483→491→503→507→509→512→76→
25,2022-06-26,22:05:58,YC technology,"$2,799.00",FBA,20,14,4.0,525,504→503→510→512→514→515→520→521→524→525→529→529→
26,2022-06-26,22:26:02,OLYLO Direct,"$2,199.00",FBA,5,8,5.0,573,329→340→355→369→372→382→391→565→569→573→574→578→
27,2022-06-26,22:27:01,Zlpower,"$1,899.00",FBM,In stock.,25,4.3,627,604→603→607→610→611→612→616→619→624→627→625→627→
28,2022-06-26,22:06:17,TYTY USA,"$2,099.00",FBA,10,11,3.5,661,661→660→659→659→659→659→659→659→660→661→661→661→
29,2022-06-26,22:15:31,MWE Tech,"$1,899.00",FBA,5,24,4.3,672,636→640→648→652→656→658→660→665→668→672→673→675→
30,2022-06-26,22:27:19,HERBSASY,"$2,799.00",FBA,1,3,5.0,686,665→666→671→675→677→675→676→680→686→686→686→688→
