,日期,时间,卖家,价格,发货,FBA库存数量,评论数,评分,排名,近3日排名走势
1,2022-07-28,08:44:25,MWE Tech,"$2,799.00",FBA,In Stock.,42,4.4,57,58→65→52→59→60→52→57→
2,2022-07-28,08:25:53,MWE Tech,"$2,199.00",FBA,16,42,4.4,90,93→97→102→105→113→128→90→
3,2022-07-28,08:40:07,OLYLO Direct,"$2,799.00",FBM,10,30,4.3,125,86→79→87→91→94→105→125→
4,2022-07-28,08:43:33,MWE Tech,"$3,299.00",FBA,6,42,4.4,144,304→111→144→
5,2022-07-28,08:31:12,Looline,"$2,380.00",FBA,13,9,3.8,159,240→248→254→263→270→294→159→
6,2022-07-28,08:44:39,YC technology,"$2,799.00",FBA,19,18,4.1,166,397→400→399→396→395→391→166→
7,2022-07-28,08:24:43,MWE Tech,"$2,380.00",FBA,11,42,4.4,172,182→192→191→188→138→151→172→
8,2022-07-28,08:45:45,OLYLO Direct,"$1,899.00",FBA,9,30,4.3,185,477→494→500→515→523→225→185→
9,2022-07-28,08:26:58,OLYLO Direct,"$2,380.00",FBA,14,30,4.3,198,155→157→158→161→161→181→198→
10,2022-07-28,08:25:26,AchhaGo US,"$2,199.00",FBA,In Stock.,7,4.1,207,148→151→154→158→159→180→180→207→
11,2022-07-28,08:46:14,OLYLO Direct,"$2,499.00",FBA,14,30,4.3,219,215→227→235→246→251→166→219→
12,2022-07-28,08:35:31,WAHER,"$2,380.00",FBA,13,12,4.4,254,444→448→164→178→182→217→254→
13,2022-07-28,08:40:46,olylo Machine,"$2,799.00",FBA,4,0,0.0,257,1419→1419→1419→1418→1418→195→257→
14,2022-07-28,08:27:38,OLYLO Direct,"$3,299.00",FBA,In Stock.,30,4.3,258,167→124→182→190→196→223→258→
15,2022-07-28,08:29:34,HARZHI,"$2,799.00",FBA,19,13,4.3,304,255→261→265→269→269→285→304→
16,2022-07-28,08:46:28,YC technology,"$2,380.00",FBA,9,18,4.1,316,403→288→316→
17,2022-07-28,08:42:00,MWE Tech,"$2,199.00",FBA,1,42,4.4,344,263→313→344→
18,2022-07-28,08:43:59,MWE Tech,"$2,199.00",FBA,1,42,4.4,344,259→270→275→278→291→313→313→344→
19,2022-07-28,08:43:46,MWE Tech,"$2,199.00",FBA,1,42,4.4,344,259→270→275→284→291→313→344→
20,2022-07-28,08:34:15,HARZHI,"$3,299.00",FBA,12,13,4.3,391,352→378→391→
21,2022-07-28,08:32:38,Zanogi-US,"$2,799.00",FBA,17,0,0.0,405,310→321→326→343→353→376→405→
22,2022-07-28,08:45:19,Zanogi-US,"$2,799.00",FBA,17,0,0.0,405,321→326→343→353→376→405→
23,2022-07-28,08:24:57,HERBSASY,"$2,799.00",FBA,2,3,5.0,421,365→380→383→387→389→402→421→
24,2022-07-28,08:35:45,HARZHI,"$2,699.00",FBA,2,13,4.3,431,351→395→431→
25,2022-07-28,08:39:50,YC technology,"$2,499.00",FBA,17,18,4.1,446,376→424→446→
26,2022-07-28,08:39:37,WAHER,"$2,199.00",FBA,In Stock.,12,4.4,447,310→445→447→
27,2022-07-28,08:40:20,Looline,"$2,799.00",FBA,10,9,3.8,492,463→474→477→480→483→492→
28,2022-07-28,08:34:52,RXF_USA,"$2,199.00",FBA,7,133,4.3,508,280→293→311→337→347→418→508→
29,2022-07-28,08:38:57,YC technology,"$2,199.00",FBA,1,0,0.0,549,434→445→452→470→478→508→549→
30,2022-07-28,08:40:33,HARZHI,"$2,499.00",FBA,17,13,4.3,559,549→552→553→555→554→552→552→552→559→
