,日期,时间,卖家,价格,发货,FBA库存数量,评论数,评分,排名,近3日排名走势
1,2022-07-01,06:09:26,MWE Tech,"$2,380.00",FBA,In Stock.,27,4.2,34,167→181→77→27→9999→35→34→
2,2022-07-01,06:01:11,TYTY USA,"$1,395.00",FBA,12,11,3.5,74,235→262→301→321→321→121→146→74→
3,2022-07-01,04:55:48,AchhaGo US,"$2,199.00",FBA,In Stock.,6,4.8,82,123→157→102→69→9999→106→68→82→
4,2022-07-01,04:54:53,OLYLO Direct,"$2,499.00",FBA,4,11,4.4,94,239→141→219→120→9999→141→187→94→
5,2022-07-01,06:12:35,OLYLO Direct,"$2,799.00",FBA,In Stock.,11,4.4,96,44→71→82→73→73→85→96→
6,2022-07-01,05:01:12,,"$2,100.65",,1,27,4.2,111,58→74→79→99→111→
7,2022-07-01,05:03:44,Looline,"$2,399.00",FBA,10,6,3.8,154,313→130→255→255→256→9999→273→131→154→
8,2022-07-01,06:01:28,Looline,"$2,399.00",FBA,10,6,3.8,177,313→165→131→177→
9,2022-07-01,06:08:16,Looline,"$2,399.00",FBA,10,6,3.8,177,190→154→219→219→255→256→131→177→
10,2022-07-01,06:13:11,Looline,"$2,399.00",FBA,10,6,3.8,177,303→165→140→255→9999→267→131→131→154→177→
11,2022-07-01,06:10:36,Looline,"$2,399.00",FBA,10,6,3.8,177,313→154→165→165→130→255→9999→131→177→
12,2022-07-01,06:11:10,MWE Tech,"$3,299.00",FBA,17,27,4.2,197,121→154→211→116→9999→153→176→176→197→197→
13,2022-07-01,06:07:07,MWE Tech,"$2,999.00",FBA,11,27,4.2,221,260→290→330→348→9999→174→221→
14,2022-07-01,06:09:08,Dreaming254,"$1,999.99",FBM,10,27,4.2,226,156→178→194→226→
15,2022-07-01,06:03:25,TYTY USA,"$2,099.00",FBA,8,11,3.5,250,154→172→203→217→9999→240→250→
16,2022-07-01,06:06:49,WAHER,"$2,380.00",FBA,12,12,4.0,258,350→357→374→179→9999→200→228→228→246→258→
17,2022-07-01,05:59:28,LIKVIDIU,"$2,799.00",FBA,8,0,0.0,304,9999→9999→253→264→9999→282→292→292→304→304→
18,2022-07-01,05:58:37,WAHER,"$2,799.00",FBA,In Stock.,12,4.0,310,1220→895→872→987→1038→493→326→310→
19,2022-07-01,04:54:36,RXF_USA,"$2,199.00",FBA,16,131,4.3,367,1202→1229→575→610→9999→668→733→367→
20,2022-07-01,06:11:44,WAHER,"$2,199.00",FBA,In Stock.,12,4.0,377,259→276→147→147→183→183→341→9999→350→357→377→
21,2022-07-01,04:56:22,OLYLO Direct,"$2,199.00",FBA,2,11,4.4,378,257→279→355→367→378→
22,2022-07-01,06:04:00,OLYLO Direct,"$2,199.00",FBA,2,11,4.4,392,257→279→367→392→
23,2022-07-01,06:02:03,YC technology,"$2,380.00",FBA,11,13,4.0,431,402→405→423→431→9999→428→428→428→431→431→
24,2022-07-01,06:10:53,OLYLO Direct,"$2,499.00",FBA,2,11,4.4,561,257→279→338→346→9999→556→557→557→561→561→
25,2022-07-01,06:00:54,LIKVIDIU,"$2,499.00",FBA,5,0,0.0,672,9999→9999→644→657→9999→665→672→
26,2022-07-01,06:04:51,Zlpower,"$1,899.00",FBM,In stock.,25,4.3,679,653→656→668→671→9999→673→679→
27,2022-07-01,06:08:00,HERBSASY,"$2,799.00",FBA,1,3,5.0,727,703→704→704→704→719→721→724→727→
28,2022-07-01,04:58:57,LIKVIDIU,"$3,299.00",FBA,2,0,0.0,795,9999→9999→785→788→9999→793→794→795→
29,2022-07-01,06:00:02,MWE Tech,"$3,899.00",FBA,3,27,4.2,825,794→795→817→819→821→825→
30,2022-07-01,04:55:11,HARZHI,"$2,499.00",FBA,19,10,3.8,828,1074→597→681→708→758→758→791→828→
